,SEQ4,SEQ5,SEQ6,SEQ8,SEQ9,SEQ12,SEQ13,SEQ17,SEQ22,SEQ28,SEQ29,SEQ30,SEQ31,SEQ32,SEQ33,SEQ34,SEQ35,SEQ37,SEQ38,SEQ39,SEQ41,SEQ42,SEQ43,SEQ44,SEQ45,SEQ46,SEQ47,SEQ48,SEQ51,SEQ52,SEQ53,SEQ54,SEQ57,SEQ58,SEQ60,SEQ61,SEQ62,SEQ63,SEQ65,SEQ68,SEQ70,SEQ72,SEQ73,SEQ74,SEQ75,SEQ77,SEQ78,SEQ79,SEQ80,SEQ81,SEQ83,SEQ84,SEQ85,SEQ86,SEQ87,SEQ88,SEQ91,SEQ100,SEQ103,SEQ105,SEQ109,SEQ110,SEQ112,SEQ115,SEQ116,SEQ118,SEQ120,SEQ126,SEQ128,SEQ132,SEQ134,SEQ138,SEQ147,SEQ156,SEQ163,SEQ169,SEQ175,SEQ185,SEQ188,SEQ193,SEQ207,SEQ216,SEQ225,SEQ226,SEQ227,SEQ244,SEQ262,SEQ363,SEQ431,SEQ519,SEQ529,SEQ604,SEQ973
G08-B06_S61_F_filt.fastq,148,23,769,0,4,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G08-B07_S108_F_filt.fastq,15613,19,34,3030,11,0,4212,0,0,0,0,19,0,0,0,0,0,0,0,898,337,23,0,0,0,0,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G08-B08_S133_F_filt.fastq,60,0,1074,0,0,0,0,0,36,0,0,0,0,7,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G08-B08_S207_F_filt.fastq,9970,30,553,530,0,0,0,0,18,0,0,3,0,4,0,11,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G08-B09_S194_F_filt.fastq,0,0,139,0,7,59,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G08-B09_S86_F_filt.fastq,69,0,1341,0,27,0,0,0,111,40,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G08-C01_S230_F_filt.fastq,11767,0,15,1967,0,23,543,0,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G08-C02_S156_F_filt.fastq,0,0,79,0,15,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,2857,0,0,12,0,0,0,0,158,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
G08-C03_S226_F_filt.fastq,237,0,68,0,83,38,10,0,58,0,0,0,0,12,0,0,5,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
G08-C06_S135_F_filt.fastq,3593,0,11498,230,4,0,0,0,78,0,0,0,0,0,0,0,0,0,0,2247,17,0,0,8,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
