,Kingdom,Phylum,Class,Order,Family,Genus,Species
SEQ172,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ173,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ183,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ208,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ224,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ228,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ233,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ237,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ239,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ243,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ246,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ255,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ260,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ274,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ279,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ283,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ290,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ3,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ303,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ311,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ316,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ36,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ366,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ380,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ391,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ424,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ64,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,undetermined,undetermined
SEQ21,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea_harengus
SEQ384,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea_harengus
SEQ1124,Metazoa,Chordata,Actinopteri,Cypriniformes,Danionidae,Opsaridium,Opsaridium_tweddleorum
SEQ14,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Lucania,Lucania_goodei
SEQ24,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Lucania,Lucania_goodei
SEQ20,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Lucania,Lucania_goodei
SEQ474,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,undetermined,undetermined
SEQ1100,Metazoa,Chordata,Actinopteri,Gerreiformes,Gerreidae,Eucinostomus,Eucinostomus_gula
SEQ26,Metazoa,Chordata,Actinopteri,Gobiiformes,Gobiidae,Gobiosoma,undetermined
SEQ914,Metazoa,Chordata,Actinopteri,Gobiiformes,Gobiidae,undetermined,undetermined
SEQ726,Metazoa,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,Lissotriton_vulgaris
SEQ871,Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus_scrofa
SEQ108,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo_sapiens
SEQ848,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo_sapiens
SEQ798,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo_sapiens
SEQ969,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo_sapiens
SEQ833,Metazoa,Chordata,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ714,Metazoa,Chordata,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ562,Metazoa,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta_sowerbii
SEQ22,Metazoa,Cnidaria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ454,Metazoa,Cnidaria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ645,Metazoa,Cnidaria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1103,Metazoa,Cnidaria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ781,Metazoa,Cnidaria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ697,Metazoa,Cnidaria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ367,Metazoa,Cnidaria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1179,Metazoa,Cnidaria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1125,Metazoa,Cnidaria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1041,Metazoa,Cnidaria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1005,Metazoa,Cnidaria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ197,Metazoa,Cnidaria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ689,Metazoa,Cnidaria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1233,Metazoa,Cnidaria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1160,Metazoa,Cnidaria,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1007,Metazoa,Gastrotricha,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ643,Metazoa,Gastrotricha,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ778,Metazoa,Gastrotricha,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1068,Metazoa,Gastrotricha,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ818,Metazoa,Gastrotricha,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1130,Metazoa,Gastrotricha,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ647,Metazoa,Gastrotricha,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ998,Metazoa,Gastrotricha,unknown_class,Chaetonotida,Chaetonotidae,undetermined,undetermined
SEQ120,Metazoa,Mollusca,Bivalvia,Unionida,Unionidae,undetermined,undetermined
SEQ44,Metazoa,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula,Corbicula_africana
SEQ885,Metazoa,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula,Corbicula_africana
SEQ583,Metazoa,Mollusca,Gastropoda,unknown_order,Thiaridae,Melanoides,Melanoides_tuberculata
SEQ889,Metazoa,Mollusca,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1222,Metazoa,Mollusca,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1167,Metazoa,Mollusca,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ95,Metazoa,Mollusca,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1153,Metazoa,Mollusca,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1212,Metazoa,Nematoda,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ822,Metazoa,Nematoda,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1049,Metazoa,Nematoda,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1164,Metazoa,Nematoda,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ909,Metazoa,Nemertea,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ691,Metazoa,Nemertea,unknown_superorder,undetermined,undetermined,undetermined,undetermined
SEQ912,Metazoa,Nemertea,unknown_superorder,undetermined,undetermined,undetermined,undetermined
SEQ664,Metazoa,Platyhelminthes,Catenulida,unknown_order,Stenostomidae,undetermined,undetermined
SEQ498,Metazoa,Platyhelminthes,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ935,Metazoa,Platyhelminthes,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ110,Metazoa,Platyhelminthes,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1137,Metazoa,Platyhelminthes,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ503,Metazoa,Platyhelminthes,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1090,Metazoa,Platyhelminthes,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ264,Metazoa,Platyhelminthes,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ869,Metazoa,Platyhelminthes,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ414,Metazoa,Platyhelminthes,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ991,Metazoa,Platyhelminthes,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1063,Metazoa,Platyhelminthes,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ176,Metazoa,Porifera,Demospongiae,Spongillida,Spongillidae,Corvospongilla,undetermined
SEQ1107,Metazoa,Porifera,Demospongiae,Spongillida,Spongillidae,Corvospongilla,undetermined
SEQ816,Metazoa,Porifera,Demospongiae,Spongillida,Spongillidae,undetermined,undetermined
SEQ200,Metazoa,Porifera,Demospongiae,Spongillida,Spongillidae,undetermined,undetermined
SEQ826,Metazoa,Porifera,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ338,Metazoa,Porifera,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1086,Metazoa,Porifera,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ177,Metazoa,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ241,Metazoa,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ478,Metazoa,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1237,Metazoa,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ751,Metazoa,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ90,Metazoa,unknown_phylum,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1180,Metazoa,unknown_phylum,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1009,Metazoa,unknown_phylum,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ704,Metazoa,unknown_phylum,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ857,Metazoa,unknown_phylum,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1111,Metazoa,unknown_phylum,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ785,Metazoa,unknown_phylum,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1077,Metazoa,unknown_phylum,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ755,Metazoa,unknown_phylum,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1032,Metazoa,unknown_phylum,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ724,Metazoa,unknown_phylum,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1089,Metazoa,unknown_phylum,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1187,Metazoa,unknown_phylum,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1082,Metazoa,unknown_phylum,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1162,Metazoa,unknown_phylum,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ492,Metazoa,unknown_phylum,unknown_class,unknown_order,unknown_family,undetermined,undetermined
SEQ1185,Metazoa,unknown_phylum,unknown_class,unknown_order,unknown_family,undetermined,undetermined
SEQ658,Metazoa,unknown_subphylum,unknown_superfamily,undetermined,undetermined,undetermined,undetermined
SEQ1031,Metazoa,unknown_superfamily,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ732,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,undetermined,undetermined
SEQ548,Viridiplantae,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloropicon,Chloropicon_roscoffensis
SEQ777,Viridiplantae,Chlorophyta,Trebouxiophyceae,unknown_order,unknown_family,undetermined,undetermined
SEQ923,Viridiplantae,Chlorophyta,Trebouxiophyceae,unknown_order,unknown_family,undetermined,undetermined
SEQ743,Viridiplantae,Chlorophyta,Trebouxiophyceae,unknown_order,unknown_family,undetermined,undetermined
SEQ698,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ269,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ315,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ333,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1158,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ836,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1174,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1119,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1042,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1083,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1010,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ188,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ226,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ875,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ334,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ770,Viridiplantae,Chlorophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1211,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1075,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ599,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ852,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ591,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ880,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ792,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ637,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ375,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ143,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1064,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ703,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ927,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ641,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ543,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ734,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ934,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1114,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ589,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ958,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ27,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ513,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ615,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ69,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ261,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ565,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1175,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ980,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1062,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ711,unknown_kingdom,Apicomplexa,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ877,unknown_kingdom,Apicomplexa,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1140,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,undetermined,undetermined
SEQ801,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,undetermined,undetermined
SEQ636,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,undetermined,undetermined
SEQ866,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,undetermined,undetermined
SEQ445,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,undetermined,undetermined
SEQ593,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,undetermined,undetermined
SEQ35,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,undetermined,undetermined
SEQ1027,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,undetermined,undetermined
SEQ529,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,undetermined,undetermined
SEQ754,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,undetermined,undetermined
SEQ32,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,undetermined,undetermined
SEQ225,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,undetermined,undetermined
SEQ1016,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,undetermined,undetermined
SEQ729,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,undetermined,undetermined
SEQ84,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,undetermined,undetermined
SEQ419,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,undetermined,undetermined
SEQ207,unknown_kingdom,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,undetermined,undetermined
SEQ872,unknown_kingdom,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,undetermined,undetermined
SEQ227,unknown_kingdom,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,undetermined,undetermined
SEQ813,unknown_kingdom,Bacillariophyta,Coscinodiscophyceae,Stephanodiscales,Stephanodiscaceae,undetermined,undetermined
SEQ861,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ606,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ568,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1021,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ842,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ772,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ392,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1155,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ892,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1201,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ847,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ196,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ786,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ940,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ153,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1190,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ943,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ758,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ760,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ759,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ972,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ865,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ600,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1088,unknown_kingdom,Bacillariophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1081,unknown_kingdom,Discosea,Flabellinia,unknown_order,Vannellidae,undetermined,undetermined
SEQ797,unknown_kingdom,Discosea,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1036,unknown_kingdom,Discosea,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ952,unknown_kingdom,Discosea,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ970,unknown_kingdom,Discosea,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1144,unknown_kingdom,Discosea,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1039,unknown_kingdom,Discosea,unknown_class,Himatismenida,Cochliopodiidae,undetermined,undetermined
SEQ858,unknown_kingdom,Discosea,unknown_class,Himatismenida,Cochliopodiidae,undetermined,undetermined
SEQ937,unknown_kingdom,Discosea,unknown_class,Himatismenida,Cochliopodiidae,undetermined,undetermined
SEQ449,unknown_kingdom,Discosea,unknown_class,Himatismenida,Cochliopodiidae,undetermined,undetermined
SEQ963,unknown_kingdom,Discosea,unknown_class,Himatismenida,Cochliopodiidae,undetermined,undetermined
SEQ1163,unknown_kingdom,Discosea,unknown_class,Himatismenida,Cochliopodiidae,undetermined,undetermined
SEQ895,unknown_kingdom,Discosea,unknown_class,Himatismenida,Cochliopodiidae,undetermined,undetermined
SEQ522,unknown_kingdom,Haptophyta,unknown_class,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina_parva
SEQ417,unknown_kingdom,Heterolobosea,unknown_class,unknown_order,Vahlkampfiidae,Naegleria,undetermined
SEQ921,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ947,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1131,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1084,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ898,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ793,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1238,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1133,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ789,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ460,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ400,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ293,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ663,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ851,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ910,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ756,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1087,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1053,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ837,unknown_kingdom,Oomycota,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1013,unknown_kingdom,Oomycota,unknown_class,Peronosporales,Peronosporaceae,Phytophthora,undetermined
SEQ1246,unknown_kingdom,Oomycota,unknown_class,Peronosporales,Peronosporaceae,Phytophthora,undetermined
SEQ220,unknown_kingdom,Oomycota,unknown_class,Peronosporales,Peronosporaceae,undetermined,undetermined
SEQ1024,unknown_kingdom,Oomycota,unknown_class,Pythiales,Pythiaceae,Pythium,Pythium_insidiosum
SEQ721,unknown_kingdom,Oomycota,unknown_class,Pythiales,Pythiaceae,undetermined,undetermined
SEQ886,unknown_kingdom,Oomycota,unknown_class,Pythiales,Pythiaceae,undetermined,undetermined
SEQ1012,unknown_kingdom,Oomycota,unknown_class,Pythiales,Pythiaceae,undetermined,undetermined
SEQ604,unknown_kingdom,Oomycota,unknown_class,Pythiales,Pythiogetonaceae,undetermined,undetermined
SEQ694,unknown_kingdom,Oomycota,unknown_class,Saprolegniales,Saprolegniaceae,Achlya,Achlya_bisexualis
SEQ906,unknown_kingdom,Oomycota,unknown_class,Saprolegniales,Saprolegniaceae,Leptolegnia,Leptolegnia_caudata
SEQ1225,unknown_kingdom,Oomycota,unknown_class,Saprolegniales,Saprolegniaceae,Saprolegnia,Saprolegnia_sp._14
SEQ294,unknown_kingdom,Oomycota,unknown_class,Saprolegniales,Saprolegniaceae,undetermined,undetermined
SEQ1040,unknown_kingdom,Oomycota,unknown_class,Saprolegniales,Saprolegniaceae,undetermined,undetermined
SEQ608,unknown_kingdom,Oomycota,unknown_class,unknown_superfamily,undetermined,undetermined,undetermined
SEQ999,unknown_kingdom,Oomycota,unknown_class,unknown_superfamily,undetermined,undetermined,undetermined
SEQ979,unknown_kingdom,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Acanthophora,Acanthophora_spicifera
SEQ1232,unknown_kingdom,Rhodophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ936,unknown_kingdom,Rhodophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ554,unknown_kingdom,Rhodophyta,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ913,unknown_kingdom,Tubulinea,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ856,unknown_kingdom,Tubulinea,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ296,unknown_kingdom,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1142,unknown_kingdom,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1002,unknown_kingdom,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1134,unknown_kingdom,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ1178,unknown_kingdom,undetermined,undetermined,undetermined,undetermined,undetermined,undetermined
SEQ514,unknown_kingdom,unknown_phylum,Eustigmatophyceae,Goniochloridales,unknown_family,undetermined,undetermined
SEQ1014,unknown_kingdom,unknown_phylum,Eustigmatophyceae,Goniochloridales,unknown_family,undetermined,undetermined
SEQ157,unknown_kingdom,unknown_phylum,Eustigmatophyceae,Goniochloridales,unknown_family,undetermined,undetermined
